部门代码,部门名称,用人司局,机构性质,招考职位,职位属性,职位分布,职位简介,职位代码,机构层级,考试类别,招考人数,专业,学历,学位,政治面貌,基层工作最低年限,服务基层项目工作经历,是否在面试阶段组织专业能力测试,面试人员比例,工作地点,落户地点,备注,部门网站,咨询电话1,咨询电话2,咨询电话3
001000,中央纪委国家监察委,机关厅部室局,中央党群机关,纪检监察职位一,普通职位,其他职位,文字综合,100110001004,中央,中央机关及其省级直属机构综合管理类,3,政治学、马克思主义理论、中国语言文学、外国语言文学、新闻学、中国史、世界史,硕士研究生及以上,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上政策理论研究或综合文稿起草工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,机关厅部室局,中央党群机关,纪检监察职位二,普通职位,其他职位,监督执纪执法,100110001005,中央,中央机关及其省级直属机构综合管理类,3,经济学、财政学、金融学、会计学、审计学、统计学,本科或硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上与所需专业相关领域工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,机关厅部室局,中央党群机关,纪检监察职位三,普通职位,其他职位,综合调研,100110001006,中央,中央机关及其省级直属机构综合管理类,3,法学,本科或硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上法律相关工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。本职位要求专业指一级学科（专业类），非学科门类。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,机关厅部室局,中央党群机关,纪检监察职位四,普通职位,其他职位,监督执纪执法,100110001007,中央,中央机关及其省级直属机构综合管理类,4,法学,本科或硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上法律相关工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。本职位要求专业指一级学科（专业类），非学科门类。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,机关厅部室局,中央党群机关,纪检监察职位五,普通职位,其他职位,医疗服务保障,100110001008,中央,中央机关及其省级直属机构综合管理类,2,临床医学、预防医学、卫生监督、内科学、康复医学与理疗学、流行病与卫生统计学,本科或硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,5:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；具有2年以上与所需专业相关领域工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。本职位要求专业均指二级学科（专业名称），非一级学科（专业类）。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,派驻机构,中央党群机关,纪检监察职位一,普通职位,其他职位,文字综合,100110002004,中央,中央机关及其省级直属机构综合管理类,3,中国语言文学、外国语言文学、新闻学,本科或硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力强，具有2年以上综合文稿起草工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,派驻机构,中央党群机关,纪检监察职位二,普通职位,其他职位,监督检查,100110002005,中央,中央机关及其省级直属机构综合管理类,4,财政学、金融学、会计学、审计学,仅限硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上与所需专业相关领域工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,派驻机构,中央党群机关,纪检监察职位三,普通职位,其他职位,审查调查,100110002006,中央,中央机关及其省级直属机构综合管理类,4,财政学、金融学、会计学、审计学,仅限硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上与所需专业相关领域工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,派驻机构,中央党群机关,纪检监察职位四,普通职位,其他职位,监督检查,100110002007,中央,中央机关及其省级直属机构综合管理类,4,财政学、金融学、会计学、审计学,本科或硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上与所需专业相关领域工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,派驻机构,中央党群机关,纪检监察职位五,普通职位,其他职位,监督检查,100110002008,中央,中央机关及其省级直属机构综合管理类,4,法学,仅限硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上法律相关工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。本职位要求专业指一级学科，非学科门类。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,派驻机构,中央党群机关,纪检监察职位六,普通职位,其他职位,审查调查,100110002009,中央,中央机关及其省级直属机构综合管理类,4,法学,仅限硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上法律相关工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。本职位要求专业指一级学科，非学科门类。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,派驻机构,中央党群机关,纪检监察职位七,普通职位,其他职位,监督检查,100110002010,中央,中央机关及其省级直属机构综合管理类,4,法学,本科或硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上法律相关工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。本职位要求专业指一级学科（专业类），非学科门类。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,派驻机构,中央党群机关,纪检监察职位八,普通职位,其他职位,审查调查,100110002011,中央,中央机关及其省级直属机构综合管理类,4,法学,本科或硕士研究生,与最高学历相对应的学位,中共党员,二年,无限制,否,4:1,北京市,北京市,党性观念和纪律规矩意识强；身心健康，能适应经常性出差；文字能力较强，具有2年以上法律相关工作经历；本科、研究生阶段均取得学历学位；限以主修学位报考，最高学历对应专业需满足职位专业要求；非应届人员应为在职状态。本职位要求专业指一级学科（专业类），非学科门类。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,信息中心（网络举报管理中心）,中央党群机关参照公务员法管理事业单位,纪检监察职位一,普通职位,其他职位,应用软件研发、大数据系统建设、信息安全管理保障、文稿起草,100210003001,中央,中央机关及其省级直属机构综合管理类,2,计算机科学与技术、软件工程、网络工程、信息安全,本科或硕士研究生,与最高学历相对应的学位,中共党员,无限制,无限制,是,5:1,北京市,北京市,党性观念和纪律规矩意识强；文字能力较强，身心健康，能够适应长期加班出差，相容性好。本科、研究生阶段均取得学历学位。专业能力测试内容：信息技术相关知识。专业能力测试成绩比重：15%。,www.ccdi.gov.cn,010-59592131,010-59592132,
001000,中央纪委国家监察委,信息中心（网络举报管理中心）,中央党群机关参照公务员法管理事业单位,纪检监察职位二,普通职位,其他职位,文稿起草及综合管理,100210003002,中央,中央机关及其省级直属机构综合管理类,1,会计学、财务管理,本科或硕士研究生,与最高学历相对应的学位,中共党员,无限制,无限制,是,5:1,北京市,北京市,党性观念和纪律规矩意识强；文字能力较强，身体健康，能够适应长期加班出差，相容性好。本科、研究生阶段均取得学历学位。专业能力测试内容：财务相关知识。专业能力测试成绩比重：15%。,www.ccdi.gov.cn,010-59592131,010-59592132,
002000,中央办公厅,法规局,中央党群机关,备案处一级主任科员及以下,普通职位,其他职位,主要承担党内法规和规范性文件备案审查等工作,100110001001,中央,中央机关及其省级直属机构综合管理类,1,法学（一级学科）,硕士研究生及以上,与最高学历相对应的学位,中共党员,二年,无限制,是,5:1,北京市,北京市,咨询电话：01063094808。 研究生学历报考时须同时具有本科学历学位和研究生学历学位，研究生学历学位须为同一学校同时颁发。专业能力测试的内容为公文写作，占综合成绩的比重为15%。,咨询法规局63094808，机要交通局63093855，中共中央机关事务管理局63097973，老干部局63097447，毛主席纪念堂管理局83083167,01063094219,,
