部门代码,部门名称,用人司局,机构性质,招考职位,职位属性,职位分布,职位简介,职位代码,机构层级,考试类别,招考人数,专业,学历,学位,政治面貌,基层工作最低年限,服务基层项目工作经历,是否在面试阶段组织专业能力测试,面试人员比例,工作地点,落户地点,备注,部门网站,咨询电话1,咨询电话2,咨询电话3
102000,外交部,档案馆,中央国家行政机关参照公务员法管理事业单位,档案管理,普通职位,其他职位,"1、外交档案收集与管理；
2、监督指导部机关、部属单位及驻外使领馆档案工作；
3、外交档案编辑研究。",400110004001,中央,中央机关及其省级直属机构综合管理类,2,档案学、信息资源管理、情报学,本科或硕士研究生,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,大学英语4级成绩425分及以上（网上报名时，请在备注栏注明英语水平等级及分数）。政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科和研究生阶段均学习档案学相关专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生应具有2年以上在党政机关、国有企事业单位、人民团体从事专职档案工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
102000,外交部,档案馆,中央国家行政机关参照公务员法管理事业单位,档案综合业务研究管理,普通职位,其他职位,综合业务调研、馆藏资源管理与研究利用,400110004002,中央,中央机关及其省级直属机构综合管理类,2,博物馆学,本科或硕士研究生,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,大学英语4级成绩425分及以上（网上报名时，请在备注栏注明英语水平等级及分数）。政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科和研究生阶段均学习博物馆学相关专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生应具有2年以上在党政机关、国有企事业单位、人民团体从事专职馆藏资源综合管理与研究利用工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
106000,科学技术部,中国国际人才交流中心,中央国家行政机关参照公务员法管理事业单位,综合或业务处室一级主任科员及以下,非通用语职位（日语）,其他职位,从事国际人才交流工作，需具备较强的日文听、说、读、写、译能力，能用日文独立开展工作。适时派出驻外工作，需服从驻外工作安排。需要起草综合文字、调研报告等，工作任务较重。,400126005001,中央,中央机关及其省级直属机构综合管理类,1,日语相关专业,硕士研究生及以上,与最高学历相对应的学位,中共党员,无限制,无限制,是,8:1,北京市,北京市,具有日语专业八级证书或日本语能力测试N2级证书。最高学历、学位专业需满足专业要求。专业能力测试内容为日语测试，重点考查日语的实际应用能力，占综合成绩的比例为15%。请按《关于科技部2022年度公务员考试录用有关事项的说明》要求，填写报名信息。,http://www.most.gov.cn,010-58881789,010-58881749,
108000,国家民族事务委员会,全国少数民族古籍整理研究室,中央国家行政机关参照公务员法管理事业单位,业务处一级主任科员及以下,普通职位,其他职位,从事组织、协调、联络、指导少数民族古籍的抢救保护整理出版研究等工作，具有一定的文稿能力，经常赴艰苦地区出差。,400110007002,中央,中央机关及其省级直属机构综合管理类,1,哲学类、中国语言文学类、新闻传播学类、历史学类、图书情报与档案管理类、社会学类、民族学类、行政管理专业。,仅限硕士研究生,硕士,中共党员,无限制,无限制,否,5:1,北京市,北京市,,https://www.neac.gov.cn/,010-66508822,,
109000,公安部,直属司局六,中央国家行政机关参照公务员法管理事业单位,七处一级主任科员及以下,公安机关人民警察职位,其他职位,网络与通信系统运行维护及管理、信息系统与网络安全管理等相关工作,400130206022,中央,中央机关及其省级直属机构综合管理类,1,电子科学与技术、信息与通信工程、控制科学与工程、计算机科学与技术、软件工程、网络空间安全,硕士研究生及以上,与最高学历相对应的学位,中共党员,无限制,无限制,否,4:1,北京市,北京市,1.高等学历教育各阶段均需取得相应学历学位；2.职位要求专业条件为报考者最高学历对应专业；3.与部机关及直属行政单位、参公管理事业单位工作人员之间有夫妻关系、直系血亲关系、三代以内旁系血亲关系以及近姻亲关系的，不得报考部机关和相关用人单位职位；4.具有《公安机关录用人民警察政治考察工作办法》第八条、第九条情形的，不得报考；父母、配偶或子女已移居国（境）外的，子女或兄弟姐妹等直系亲属与外国人结婚的，曾连续六个月以上在国（境）外留学、工作、生活，国（境）外期间经历和政治表现难以进行考察的，不得报考；5.干部人事档案存在“三龄二历一身份”篡改造假等问题，不得报考；6.按照招录人民警察要求，开展体检、体能测评、职业心理素质测评、政治考察；7.在职人员要求为国有企事业单位工作人员；8.大学英语六级425分及以上或全国英语等级考试5级；9.本科和研究生均须为职位要求相关专业；10.工作强度大、任务重，经常加班，限男性；11.符合公安部统一招录补充公告有关要求；12.咨询电话：010-66269541。,http://www.mps.gov.cn/,010-66263510,,
109000,公安部,直属司局六,中央国家行政机关参照公务员法管理事业单位,八处警务技术一级主管及以下,公安机关人民警察职位,其他职位,案件现场勘查，法医病理、损伤、人类学检验鉴定和技术研究,400130206023,中央,中央机关及其省级直属机构综合管理类,1,法医学,硕士研究生及以上,与最高学历相对应的学位,中共党员,无限制,无限制,否,4:1,北京市,北京市,1.高等学历教育各阶段均需取得相应学历学位；2.职位要求专业条件为报考者最高学历对应专业；3.与部机关及直属行政单位、参公管理事业单位工作人员之间有夫妻关系、直系血亲关系、三代以内旁系血亲关系以及近姻亲关系的，不得报考部机关和相关用人单位职位；4.具有《公安机关录用人民警察政治考察工作办法》第八条、第九条情形的，不得报考；父母、配偶或子女已移居国（境）外的，子女或兄弟姐妹等直系亲属与外国人结婚的，曾连续六个月以上在国（境）外留学、工作、生活，国（境）外期间经历和政治表现难以进行考察的，不得报考；5.干部人事档案存在“三龄二历一身份”篡改造假等问题，不得报考；6.按照招录人民警察要求，开展体检、体能测评、职业心理素质测评、政治考察；7.在职人员要求为国有企事业单位工作人员；8.大学英语六级425分及以上或全国英语等级考试5级；9.本科和研究生均须为职位要求相关专业；10.工作强度大、任务重，经常加班，限男性；11.符合公安部统一招录补充公告有关要求；12.咨询电话：010-66269541。,http://www.mps.gov.cn/,010-66263510,,
109000,公安部,直属司局六,中央国家行政机关参照公务员法管理事业单位,九处警务技术一级主管及以下,公安机关人民警察职位,其他职位,案件现场勘查、生物物证检验鉴定、技术研究和专业培训等工作,400130206024,中央,中央机关及其省级直属机构综合管理类,1,法医学（仅限法医物证方向）、生物学,硕士研究生及以上,与最高学历相对应的学位,中共党员,无限制,无限制,否,4:1,北京市,北京市,1.高等学历教育各阶段均需取得相应学历学位；2.职位要求专业条件为报考者最高学历对应专业；3.与部机关及直属行政单位、参公管理事业单位工作人员之间有夫妻关系、直系血亲关系、三代以内旁系血亲关系以及近姻亲关系的，不得报考部机关和相关用人单位职位；4.具有《公安机关录用人民警察政治考察工作办法》第八条、第九条情形的，不得报考；父母、配偶或子女已移居国（境）外的，子女或兄弟姐妹等直系亲属与外国人结婚的，曾连续六个月以上在国（境）外留学、工作、生活，国（境）外期间经历和政治表现难以进行考察的，不得报考；5.干部人事档案存在“三龄二历一身份”篡改造假等问题，不得报考；6.按照招录人民警察要求，开展体检、体能测评、职业心理素质测评、政治考察；7.在职人员要求为国有企事业单位工作人员；8.大学英语六级425分及以上或全国英语等级考试5级；9.工作强度大、任务重，经常加班，限男性；10.符合公安部统一招录补充公告有关要求；11.咨询电话：010-66269541。,http://www.mps.gov.cn/,010-66263510,,
109000,公安部,直属司局六,中央国家行政机关参照公务员法管理事业单位,十处警务技术一级主管及以下,公安机关人民警察职位,其他职位,从事与法庭科学相关的生物物证鉴定和技术研究，案件现场勘查工作。主要工作内容为案件中物证的DNA发现、提取、检测和结果解释应用，以及相关的科研、培训、标准化、信息化工作。,400130206025,中央,中央机关及其省级直属机构综合管理类,1,法医学（仅限法医物证方向）、生物化学与分子生物学、遗传学、微生物学、流行病与卫生统计学,硕士研究生及以上,与最高学历相对应的学位,中共党员,无限制,无限制,否,4:1,北京市,北京市,1.高等学历教育各阶段均需取得相应学历学位；2.职位要求专业条件为报考者最高学历对应专业；3.与部机关及直属行政单位、参公管理事业单位工作人员之间有夫妻关系、直系血亲关系、三代以内旁系血亲关系以及近姻亲关系的，不得报考部机关和相关用人单位职位；4.具有《公安机关录用人民警察政治考察工作办法》第八条、第九条情形的，不得报考；父母、配偶或子女已移居国（境）外的，子女或兄弟姐妹等直系亲属与外国人结婚的，曾连续六个月以上在国（境）外留学、工作、生活，国（境）外期间经历和政治表现难以进行考察的，不得报考；5.干部人事档案存在“三龄二历一身份”篡改造假等问题，不得报考；6.按照招录人民警察要求，开展体检、体能测评、职业心理素质测评、政治考察；7.在职人员要求为国有企事业单位工作人员；8.大学英语六级425分及以上或全国英语等级考试5级；9.本科和研究生均须为职位要求相关专业；10.工作强度大、任务重，经常加班，限男性；11.符合公安部统一招录补充公告有关要求；12.咨询电话：010-66269541。,http://www.mps.gov.cn/,010-66263510,,
109000,公安部,直属司局六,中央国家行政机关参照公务员法管理事业单位,十三处警务技术一级主管及以下,公安机关人民警察职位,其他职位,主要从事理化检验分析技术研究开发；大型分析仪器应用；相关案件理化物证检验鉴定；以及案件现场勘查,400130206026,中央,中央机关及其省级直属机构综合管理类,1,分析化学、高分子化学与物理、应用化学,硕士研究生及以上,与最高学历相对应的学位,中共党员,无限制,无限制,否,4:1,北京市,北京市,1.高等学历教育各阶段均需取得相应学历学位；2.职位要求专业条件为报考者最高学历对应专业；3.与部机关及直属行政单位、参公管理事业单位工作人员之间有夫妻关系、直系血亲关系、三代以内旁系血亲关系以及近姻亲关系的，不得报考部机关和相关用人单位职位；4.具有《公安机关录用人民警察政治考察工作办法》第八条、第九条情形的，不得报考；父母、配偶或子女已移居国（境）外的，子女或兄弟姐妹等直系亲属与外国人结婚的，曾连续六个月以上在国（境）外留学、工作、生活，国（境）外期间经历和政治表现难以进行考察的，不得报考；5.干部人事档案存在“三龄二历一身份”篡改造假等问题，不得报考；6.按照招录人民警察要求，开展体检、体能测评、职业心理素质测评、政治考察；7.在职人员要求为国有企事业单位工作人员；8.大学英语六级425分及以上或全国英语等级考试5级；9.本科和研究生均须为化学相关专业；10.工作强度大、任务重，经常加班，限男性；11.符合公安部统一招录补充公告有关要求；12.咨询电话：010-66269541。,http://www.mps.gov.cn/,010-66263510,,
109000,公安部,直属司局六,中央国家行政机关参照公务员法管理事业单位,十六处警务技术一级主管及以下,公安机关人民警察职位,其他职位,主要从事案件现场勘查，痕迹类物证检验鉴定和技术研究,400130206027,中央,中央机关及其省级直属机构综合管理类,1,计算机应用技术、模式识别与智能系统、流体力学,硕士研究生及以上,与最高学历相对应的学位,中共党员,无限制,无限制,否,4:1,北京市,北京市,1.高等学历教育各阶段均需取得相应学历学位；2.职位要求专业条件为报考者最高学历对应专业；3.与部机关及直属行政单位、参公管理事业单位工作人员之间有夫妻关系、直系血亲关系、三代以内旁系血亲关系以及近姻亲关系的，不得报考部机关和相关用人单位职位；4.具有《公安机关录用人民警察政治考察工作办法》第八条、第九条情形的，不得报考；父母、配偶或子女已移居国（境）外的，子女或兄弟姐妹等直系亲属与外国人结婚的，曾连续六个月以上在国（境）外留学、工作、生活，国（境）外期间经历和政治表现难以进行考察的，不得报考；5.干部人事档案存在“三龄二历一身份”篡改造假等问题，不得报考；6.按照招录人民警察要求，开展体检、体能测评、职业心理素质测评、政治考察；7.在职人员要求为国有企事业单位工作人员；8.大学英语六级425分及以上或全国英语等级考试5级；9.工作强度大、任务重，经常加班，限男性；10.符合公安部统一招录补充公告有关要求；11.咨询电话：010-66269541。,http://www.mps.gov.cn/,010-66263510,,
