部门代码,部门名称,用人司局,机构性质,招考职位,职位属性,职位分布,职位简介,职位代码,机构层级,考试类别,招考人数,专业,学历,学位,政治面貌,基层工作最低年限,服务基层项目工作经历,是否在面试阶段组织专业能力测试,面试人员比例,工作地点,落户地点,备注,部门网站,咨询电话1,咨询电话2,咨询电话3
102000,外交部,地区业务司,中央国家行政机关（本级）,英语一,普通职位,其他职位,"1、掌握、研究有关国家及地区形势，为中央处理国际问题提供对策建议；
2、办理我国和有关国家及国际组织间的日常事务；
3、为领导人开展对外活动提供翻译服务。",200110001001,中央,中央机关及其省级直属机构综合管理类,26,外交学、国际关系、国际政治、英语专业,本科及以上,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,大学英语6级成绩500分及以上，英语相关专业应通过英语专业4级或8级（网上报名时，请在备注栏注明英语水平等级及分数），能用英语独立开展工作。政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科和研究生阶段均学习外交学、国际关系或国际政治专业，或者本科学习英语专业、硕士学习外交学、国际关系或国际政治专业，最高学历均为硕士研究生，且获得国内本科学历。非应届毕业生还应具备2年以上在党政机关、国有企事业单位、人民团体从事理论研究、教学科研、行政管理等工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
102000,外交部,地区业务司,中央国家行政机关（本级）,英语二,普通职位,其他职位,"1、研究和处理外交工作中的条约和法律问题；
2、办理各种涉及条约和法律的涉外案件；
3、参加有关条约和法律的多边、双边谈判和国际会议；
4、协助有关部门审核国内制订的涉外法规。",200110001002,中央,中央机关及其省级直属机构综合管理类,16,法律相关专业,本科及以上,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,大学英语6级成绩425分及以上（网上报名时，请在备注栏注明英语水平等级及分数），能用英语独立开展工作。政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科和研究生阶段均学习国际法相关专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生还应具备2年以上在党政机关、国有企事业单位、人民团体从事理论研究、教学科研、行政管理等工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
102000,外交部,地区业务司,中央国家行政机关（本级）,英语三,普通职位,其他职位,"1、研究世界经济、金融、贸易等形势以及国际经济关系演变，为中央处理相关国际政治、经济、金融问题提供对策建议；
2、起草有关国际经济、金融、发展问题的领导人讲话稿；
3、处理我国和有关国家及国际组织间的经济、发展、金融等领域合作事宜，参与双边和多边国际经济、金融、发展事务磋商。",200110001003,中央,中央机关及其省级直属机构综合管理类,10,经济学类、财政学类、金融学类、经济与贸易类、应用经济学类、理论经济学类专业,本科及以上,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,大学英语6级成绩425分及以上（网上报名时，请在备注栏注明英语水平等级及分数），能用英语独立开展工作。政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科和研究生阶段均学习国际经济、国际金融、国际经济与贸易相关专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生还应具备2年以上在党政机关、国有企事业单位、人民团体从事理论研究、教学科研、行政管理等工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
102000,外交部,地区业务司,中央国家行政机关（本级）,英语四,普通职位,其他职位,"1、开展中国特色大国外交理论研究；
2、掌握、研究有关国家及地区形势，为中央处理国际问题提供对策建议；
3、办理我国和有关国家及国际组织间的日常事务；
4、为领导人开展对外活动提供翻译服务。",200110001004,中央,中央机关及其省级直属机构综合管理类,5,马克思主义理论类专业,本科及以上,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,大学英语6级成绩425分及以上（网上报名时，请在备注栏注明英语水平等级及分数），能用英语独立开展工作。政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科和研究生阶段均学习马克思主义理论类相关专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生还应具备2年以上在党政机关、国有企事业单位、人民团体从事理论研究、教学科研、行政管理等工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
102000,外交部,地区业务司,中央国家行政机关（本级）,英语五,普通职位,其他职位,"1、开展我国国际传播工作，提供相关对策建议；
2、开展新媒体策划、创意剪辑等工作；
3、组织开展公共外交；
4、为领导人开展对外活动提供新闻服务。",200110001005,中央,中央机关及其省级直属机构综合管理类,5,新闻传播学类专业,本科及以上,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,大学英语6级成绩425分及以上（网上报名时，请在备注栏注明英语水平等级及分数），能用英语独立开展工作。政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科和研究生阶段均学习新闻传播学类相关专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生还应具备2年以上在党政机关、国有企事业单位、人民团体从事理论研究、教学科研、行政管理等工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
102000,外交部,地区业务司,中央国家行政机关（本级）,英语六,普通职位,其他职位,"1、掌握、研究有关国家及地区形势，为中央处理国际问题提供对策建议；
2、办理我国和有关国家及国际组织间的日常事务；
3、为领导人开展对外活动提供翻译服务。",200110001006,中央,中央机关及其省级直属机构综合管理类,15,除英语一、二、三、四、五职位面向专业外的其他文科专业（包括哲学、法学、教育学、文学、历史学、管理学、艺术学等学科门类）,本科及以上,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,大学英语6级成绩500分及以上（网上报名时，请在备注栏注明英语水平等级及分数），能用英语独立开展工作。政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科学习相关专业、硕士学习外交学、国际关系或国际政治专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生还应具备2年以上在党政机关、国有企事业单位、人民团体从事理论研究、教学科研、行政管理等工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
102000,外交部,地区业务司,中央国家行政机关（本级）,英语七,普通职位,其他职位,"1、掌握、研究有关国家及地区形势，为中央处理国际问题提供对策建议；
2、办理我国和有关国家及国际组织间的日常事务；
3、为领导人开展对外活动提供翻译服务。",200110001007,中央,中央机关及其省级直属机构综合管理类,10,理工及其他专业（包括理学、工学、农学、医学、军事学等学科门类）,本科及以上,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,大学英语6级成绩500分及以上（网上报名时，请在备注栏注明英语水平等级及分数），能用英语独立开展工作。政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科学习相关专业、硕士学习外交学、国际关系或国际政治专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生还应具备2年以上在党政机关、国有企事业单位、人民团体从事理论研究、教学科研、行政管理等工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
102000,外交部,地区业务司,中央国家行政机关（本级）,英语八,普通职位,其他职位,"1、掌握、研究国际形势和国际热点问题，为中央处理国际问题提供对策建议；
2、处理联合国等多边领域中有关全球和地区安全以及政治、经济、社会等外交事务。",200110001008,中央,中央机关及其省级直属机构综合管理类,6,复合型专业（英语加其他非外语专业）,本科及以上,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,研究生或辅修双学位，其中一个专业为英语相关专业。英语专业4级良好及以上，或通过英语专业8级（网上报名时，请在备注栏注明英语水平等级及分数），能用英语独立开展工作，撰写英文简报、分析报告。政治可靠，个人经历、历史状况清楚。适应能力、综合协调和沟通能力较强，适合驻外工作，适应多元文化工作环境。留学回国人员应本科或研究生阶段学习外交学、国际关系或国际政治专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生还应具备2年以上在党政机关、国有企事业单位、人民团体从事理论研究、教学科研、行政管理等工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
102000,外交部,地区业务司,中央国家行政机关（本级）,英语九,普通职位,其他职位,"1、掌握、研究国际形势和国际热点问题，为中央处理国际问题提供对策建议；
2、处理联合国等多边领域中有关全球和地区安全以及政治、经济、社会等外交事务。",200110001009,中央,中央机关及其省级直属机构综合管理类,5,复语型专业,本科及以上,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,5:1,北京市,北京市,要求掌握英语及另外一门非通用语。其中英语专业4级良好及以上，或通过英语专业8级（网上报名时，请在备注栏注明英语水平等级及分数），非通用语限法语、俄语、西班牙语、阿拉伯语，并要求能用相关非通用语独立开展工作。政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科学习非通用语，硕士学习外交学、国际关系或国际政治专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生还应具备2年以上在党政机关、国有企事业单位、人民团体从事理论研究、教学科研、行政管理等工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
102000,外交部,地区业务司,中央国家行政机关（本级）,阿拉伯语,非通用语职位（阿拉伯语）,其他职位,"1、掌握、研究有关国家及地区形势，为中央处理国际问题提供对策建议；
2、办理我国和有关国家及国际组织间的日常事务；
3、为领导人开展对外活动提供翻译服务。",200121001001,中央,中央机关及其省级直属机构综合管理类,5,阿拉伯语,本科及以上,与最高学历相对应的学位,中共党员或共青团员,无限制,无限制,是,4:1,北京市,北京市,能用阿拉伯语独立开展工作；政治可靠，个人经历、历史状况清楚，适合驻外工作。留学回国人员应本科学习阿拉伯语专业、硕士学习阿拉伯语、外交学、国际关系或国际政治专业，最高学历为硕士研究生，且获得国内本科学历。非应届毕业生还应具备2年以上在党政机关、国有企事业单位、人民团体从事理论研究、教学科研、行政管理等工作经历。网上报名注意事项及专业能力测试安排详见我部招考公告。,www.mfa.gov.cn,010-65966598,010-65965483,010-65965386
